huy	h u y
giắt	g i ắ t
v	v
chùi	c h ù i
sung	s u n g
bón	b ó n
thiều	t h i ề u
phiện	p h i ệ n
nhầy	n h ầ y
ngâm	n g â m
quỵ	q u ỵ
hiếp	h i ế p
củng	c ủ n g
mài	m à i
uốn	u ố n
khóe	k h ó e
nộm	n ộ m
ếch	ế c h
lươn	l ư ơ n
nương	n ư ơ n g
rẫy	r ẫ y
khốn	k h ố n
nhõm	n h õ m
trệt	t r ệ t
mụ	m ụ
xay	x a y
nành	n à n h
sạp	s ạ p
nhóc	n h ó c
khan	k h a n
trồi	t r ồ i
đinh	đ i n h
thượt	t h ư ợ t
muống	m u ố n g
dền	d ề n
éo	é o
huynh	h u y n h
hốt	h ố t
uể	u ể
đàng	đ à n g
hiên	h i ê n
mồi	m ồ i
nhô	n h ô
lưỡi	l ư ỡ i
ruồng	r u ồ n g
dửng	d ử n g
dò	d ò
khiết	k h i ế t
rụt	r ụ t
rè	r è
trớ	t r ớ
trêu	t r ê u
tuý	t u ý
dăm	d ă m
mè	m è
nhọn	n h ọ n
phăng	p h ă n g
chướng	c h ư ớ n g
tê	t ê
gươm	g ư ơ m
vơi	v ơ i
vali	v a l i
sợi	s ợ i
lòa	l ò a
núc	n ú c
chải	c h ả i
nhung	n h u n g
bùi	b ù i
phất	p h ấ t
diễu	d i ễ u
gật	g ậ t
gù	g ù
võng	v õ n g
nghé	n g h é
chau	c h a u
ỷ	ỷ
bỉ	b ỉ
khiên	k h i ê n
hũ	h ũ
dí	d í
ỡm	ỡ m
ờ	ờ
triết	t r i ế t
luyến	l u y ế n
hố	h ố
thầu	t h ầ u
chánh	c h á n h
mành	m à n h
rèm	r è m
sáo	s á o
ngáy	n g á y
tẩu	t ẩ u
nhét	n h é t
gổ	g ổ
đả	đ ả
thạnh	t h ạ n h
vén	v é n
kha	k h a
kiếng	k i ế n g
hiến	h i ế n
ngẫu	n g ẫ u
ị	ị
đơ	đ ơ
ngẩn	n g ẩ n
ngơ	n g ơ
manh	m a n h
vèo	v è o
ngưỡng	n g ư ỡ n g
eo	e o
lầy	l ầ y
rong	r o n g
dột	d ộ t
lổ	l ổ
luồng	l u ồ n g
giằng	g i ằ n g
mía	m í a
dè	d è
nghinh	n g h i n h
bong	b o n g
nhiếc	n h i ế c
cúm	c ú m
cồng	c ồ n g
chiêng	c h i ê n g
kiềm	k i ề m
d	d
chép	c h é p
thềm	t h ề m
đẽ	đ ẽ
man	m a n
kiêu	k i ê u
lui	l u i
ruổi	r u ổ i
hấn	h ấ n
ngoi	n g o i
vạ	v ạ
tước	t ư ớ c
trĩ	t r ĩ
nheo	n h e o
nhẵn	n h ẵ n
chùa	c h ù a
hươu	h ư ơ u
máo	m á o
cháo	c h á o
ka	k a
mụi	m ụ i
cốp	c ố p
ho	h o
lẩu	l ẩ u
xắt	x ắ t
rước	r ư ớ c
táng	t á n g
xoong	x o o n g
huyền	h u y ề n
sủng	s ủ n g
tụ	t ụ
hãnh	h ã n h
tấc	t ấ c
lon	l o n
thui	t h u i
thủi	t h ủ i
nhói	n h ó i
xoăn	x o ă n
oái	o á i
ăm	ă m
rán	r á n
cộm	c ộ m
rãnh	r ã n h
chàm	c h à m
kí	k í
khăng	k h ă n g
tằn	t ằ n
khao	k h a o
nhíp	n h í p
cưu	c ư u
nghiêng	n g h i ê n g
thạc	t h ạ c
dĩnh	d ĩ n h
tiều	t i ề u
tuỵ	t u ỵ
nể	n ể
xát	x á t
ngóng	n g ó n g
té	t é
thìa	t h ì a
nhâm	n h â m
kèo	k è o
khế	k h ế
phang	p h a n g
ve	v e
rượt	r ư ợ t
rít	r í t
cỡ	c ỡ
ray	r a y
xoắn	x o ắ n
kiêm	k i ê m
đục	đ ụ c
rò	r ò
tấy	t ấ y
xoài	x o à i
chén	c h é n
siêng	s i ê n g
vấy	v ấ y
nũng	n ũ n g
nịu	n ị u
nhõng	n h õ n g
nhẽo	n h ẽ o
náu	n á u
nhãng	n h ã n g
thổ	t h ổ
nhĩ	n h ĩ
tởm	t ở m
hoi	h o i
tro	t r o
kệ	k ệ
ngấm	n g ấ m
cò	c ò
kè	k è
lõi	l õ i
lười	l ư ờ i
biếng	b i ế n g
sửu	s ử u
vá	v á
ak	a k
mít	m í t
điềm	đ i ề m
đạm	đ ạ m
dong	d o n g
dỏng	d ỏ n g
cặm	c ặ m
cụi	c ụ i
nhị	n h ị
yết	y ế t
rịa	r ị a
phả	p h ả
hót	h ó t
bửu	b ử u
nàn	n à n
mồ	m ồ
hiếu	h i ế u
đễ	đ ễ
đan	đ a n
bướu	b ư ớ u
phùng	p h ù n g
mướp	m ư ớ p
c	c
martin	m a r t i n
p	p
chọi	c h ọ i
mền	m ề n
len	l e n
thiêm	t h i ê m
chả	c h ả
rủ	r ủ
rạp	r ạ p
súp	s ú p
dấp	d ấ p
túng	t ú n g
tiềm	t i ề m
bọ	b ọ
lội	l ộ i
diễm	d i ễ m
mỉa	m ỉ a
visa	v i s a
đẫm	đ ẫ m
nghén	n g h é n
bần	b ầ n
quái	q u á i
đùng	đ ù n g
bịa	b ị a
tóm	t ó m
bừa	b ừ a
xiết	x i ế t
nài	n à i
euro	e u r o
gianh	g i a n h
nhánh	n h á n h
dên	d ê n
suyễn	s u y ễ n
xuôi	x u ô i
rỗng	r ỗ n g
hăng	h ă n g
hạm	h ạ m
át	á t
háo	h á o
ỉ	ỉ
sịt	s ị t
hống	h ố n g
hách	h á c h
nạt	n ạ t
rụng	r ụ n g
ngự	n g ự
hộc	h ộ c
run	r u n
rẩy	r ẩ y
bịt	b ị t
phẳng	p h ẳ n g
chãi	c h ã i
ín	í n
lặn	l ặ n
muôn	m u ô n
tươm	t ư ơ m
phẩy	p h ẩ y
ngừ	n g ừ
liu	l i u
mòng	m ò n g
lút	l ú t
laser	l a s e r
ngưu	n g ư u
côi	c ô i
ầu	ầ u
trói	t r ó i
nhủ	n h ủ
ngư	n g ư
khê	k h ê
sì	s ì
thảnh	t h ả n h
thơi	t h ơ i
ổi	ổ i
khuynh	k h u y n h
ù	ù
ngông	n g ô n g
xuẩn	x u ẩ n
cóng	c ó n g
bấp	b ấ p
cai	c a i
ngậu	n g ậ u
liếc	l i ế c
phiếm	p h i ế m
nhẽ	n h ẽ
nhếch	n h ế c h
nhác	n h á c
điếc	đ i ế c
huơ	h u ơ
lờ	l ờ
đố	đ ố
ố	ố
lay	l a y
tụy	t ụ y
duệ	d u ệ
ngạn	n g ạ n
khảng	k h ả n g
thuột	t h u ộ t
tắn	t ắ n
hởi	h ở i
ram	r a m
dệt	d ệ t
ghẹ	g h ẹ
voọc	v o ọ c
tuộc	t u ộ c
thiêng	t h i ê n g
liêng	l i ê n g
xạo	x ạ o
nhiễu	n h i ễ u
dốc	d ố c
đọ	đ ọ
huê	h u ê
phì	p h ì
hãn	h ã n
phe	p h e
lấm	l ấ m
lét	l é t
gen	g e n
khương	k h ư ơ n g
nộ	n ộ
nhú	n h ú
quặn	q u ặ n
càu	c à u
đáy	đ á y
ngùng	n g ù n g
gõ	g õ
huệ	h u ệ
vạt	v ạ t
ồ	ồ
ạt	ạ t
chường	c h ư ờ n g
bỉu	b ỉ u
múi	m ú i
miến	m i ế n
lõm	l õ m
xen	x e n
quây	q u â y
ngốc	n g ố c
nháo	n h á o
lướt	l ư ớ t
cúi	c ú i
giùm	g i ù m
cốc	c ố c
hạch	h ạ c h
dải	d ả i
km	k m
cào	c à o
hiệp	h i ệ p
x	x
nhợt	n h ợ t
găng	g ă n g
tia	t i a
vịn	v ị n
rọ	r ọ
dấm	d ấ m
dúi	d ú i
cẩu	c ẩ u
cọc	c ọ c
dạt	d ạ t
bầy	b ầ y
quyện	q u y ệ n
ngậy	n g ậ y
quật	q u ậ t
real	r e a l
giũ	g i ũ
vãn	v ã n
shop	s h o p
xịn	x ị n
giáp	g i á p
nhồi	n h ồ i
siết	s i ế t
kali	k a l i
phốt	p h ố t
pho	p h o
sò	s ò
khuỷu	k h u ỷ u
sãi	s ã i
rôn	r ô n
gom	g o m
mải	m ả i
vó	v ó
ngãi	n g ã i
vượng	v ư ợ n g
râu	r â u
dấn	d ấ n
ni	n i
trăn	t r ă n
chồm	c h ồ m
bưởi	b ư ở i
diệc	d i ệ c
phước	p h ư ớ c
rền	r ề n
nhụt	n h ụ t
ganh	g a n h
rôm	r ô m
bết	b ế t
óng	ó n g
reo	r e o
mưng	m ư n g
hiv	h i v
tía	t í a
sả	s ả
mạ	m ạ
trợn	t r ợ n
rỗ	r ỗ
ưỡn	ư ỡ n
quỷ	q u ỷ
nuông	n u ô n g
bẫy	b ẫ y
gọt	g ọ t
thố	t h ố
hập	h ậ p
phàn	p h à n
máng	m á n g
khía	k h í a
rồ	r ồ
chói	c h ó i
khẽ	k h ẽ
mến	m ế n
giam	g i a m
nhòa	n h ò a
khâm	k h â m
chúm	c h ú m
chím	c h í m
ngát	n g á t
lẻo	l ẻ o
oai	o a i
trầu	t r ầ u
sọ	s ọ
huyệt	h u y ệ t
vằng	v ằ n g
hông	h ô n g
chặng	c h ặ n g
thối	t h ố i
trạch	t r ạ c h
phím	p h í m
bộc	b ộ c
vin	v i n
studio	s t u d i o
ngoa	n g o a
niệu	n i ệ u
cuốc	c u ố c
ách	á c h
toả	t o ả
nhún	n h ú n
dạn	d ạ n
dồi	d ồ i
dào	d à o
diều	d i ề u
ắng	ắ n g
miện	m i ệ n
quách	q u á c h
túm	t ú m
đong	đ o n g
lảo	l ả o
ngỡ	n g ỡ
vờ	v ờ
trối	t r ố i
mỗ	m ỗ
còi	c ò i
xẩy	x ẩ y
thóc	t h ó c
lép	l é p
sớt	s ớ t
sải	s ả i
gí	g í
thuở	t h u ở
vẹt	v ẹ t
kelvin	k e l v i n
nhố	n h ố
cảng	c ả n g
ùa	ù a
đỗi	đ ỗ i
cưỡi	c ư ỡ i
chội	c h ộ i
nùng	n ù n g
khau	k h a u
tày	t à y
khấn	k h ấ n
muỗng	m u ỗ n g
đĩnh	đ ĩ n h
trọc	t r ọ c
ngài	n g à i
cù	c ù
diên	d i ê n
lu	l u
thảng	t h ả n g
lượm	l ư ợ m
vặn	v ặ n
nghêu	n g h ê u
há	h á
voi	v o i
đt	đ t
inh	i n h
ỏi	ỏ i
rắt	r ắ t
kẻo	k ẻ o
cua	c u a
văng	v ă n g
khư	k h ư
nết	n ế t
cạo	c ạ o
hanh	h a n h
sần	s ầ n
ơ	ơ
cạm	c ạ m
lựu	l ự u
mọng	m ọ n g
tắp	t ắ p
dôi	d ô i
chuối	c h u ố i
mún	m ú n
lận	l ậ n
sứt	s ứ t
cuông	c u ô n g
én	é n
ợ	ợ
xụp	x ụ p
nỏ	n ỏ
ton	t o n
ngùi	n g ù i
phu	p h u
hun	h u n
chắt	c h ắ t
chiu	c h i u
noãn	n o ã n
pop	p o p
rock	r o c k
xê	x ê
điền	đ i ề n
dát	d á t
vợt	v ợ t
cằm	c ằ m
bạnh	b ạ n h
đước	đ ư ớ c
hưu	h ư u
hen	h e n
hẹ	h ẹ
yểu	y ể u
nải	n ả i
gara	g a r a
vớ	v ớ
vẩn	v ẩ n
thìn	t h ì n
nhả	n h ả
bùn	b ù n
lem	l e m
bang	b a n g
cừu	c ừ u
xuýt	x u ý t
hức	h ứ c
ngầu	n g ầ u
mẫm	m ẫ m
karaoke	k a r a o k e
gu	g u
tí	t í
vức	v ứ c
gi	g i
dẳng	d ẳ n g
lún	l ú n
cút	c ú t
cuồn	c u ồ n
kỉ	k ỉ
đanh	đ a n h
vít	v í t
rành	r à n h
bịp	b ị p
bự	b ự
chĩa	c h ĩ a
tì	t ì
úp	ú p
nô	n ô
ngửi	n g ử i
trìu	t r ì u
toại	t o ạ i
sá	s á
nhoi	n h o i
nhìu	n h ì u
lằng	l ằ n g
nhằng	n h ằ n g
dượt	d ư ợ t
trặc	t r ặ c
dìm	d ì m
lòe	l ò e
loẹt	l o ẹ t
yểm	y ể m
beo	b e o
đoái	đ o á i
chùng	c h ù n g
oải	o ả i
víu	v í u
vòm	v ò m
ngùn	n g ù n
ngụt	n g ụ t
noi	n o i
phổng	p h ổ n g
xuyến	x u y ế n
nhện	n h ệ n
nhím	n h í m
am	a m
vắn	v ắ n
thớ	t h ớ
loáng	l o á n g
quện	q u ệ n
nặn	n ặ n
giò	g i ò
quất	q u ấ t
viếng	v i ế n g
đấm	đ ấ m
vuốt	v u ố t
nịch	n ị c h
adn	a d n
bưu	b ư u
phàm	p h à m
lân	l â n
ngụm	n g ụ m
khanh	k h a n h
ghẽ	g h ẽ
xèo	x è o
chèo	c h è o
vùi	v ù i
chuồn	c h u ồ n
kén	k é n
nhen	n h e n
xém	x é m
cầy	c ầ y
vầng	v ầ n g
ang	a n g
áng	á n g
sồi	s ồ i
thung	t h u n g
lủng	l ủ n g
ngoặt	n g o ặ t
cau	c a u
thũng	t h ũ n g
khiêng	k h i ê n g
tưng	t ư n g
tửng	t ử n g
ngạt	n g ạ t
ó	ó
sòng	s ò n g
rầu	r ầ u
trảng	t r ả n g
báu	b á u
hòng	h ò n g
gội	g ộ i
bin	b i n
đán	đ á n
nhòe	n h ò e
đicr	đ i c r
lỉnh	l ỉ n h
khỉnh	k h ỉ n h
chuông	c h u ô n g
lèo	l è o
chích	c h í c h
rông	r ô n g
lõng	l õ n g
vợi	v ợ i
chôm	c h ô m
bưng	b ư n g
môt	m ô t
húc	h ú c
rìu	r ì u
rạo	r ạ o
nẹp	n ẹ p
chòm	c h ò m
sam	s a m
sọc	s ọ c
sấm	s ấ m
lốc	l ố c
xoáy	x o á y
mướn	m ư ớ n
vơ	v ơ
bịu	b ị u
lẻn	l ẻ n
lợ	l ợ
thuôn	t h u ô n
bạ	b ạ
dẹt	d ẹ t
nác	n á c
dơ	d ơ
rạc	r ạ c
đới	đ ớ i
toản	t o ả n
bủa	b ủ a
răn	r ă n
huyên	h u y ê n
tĩu	t ĩ u
giêng	g i ê n g
vắt	v ắ t
nhậm	n h ậ m
hạo	h ạ o
xóc	x ó c
nhừ	n h ừ
ben	b e n
oánh	o á n h
mu	m u
cộ	c ộ
thẫm	t h ẫ m
giở	g i ở
vã	v ã
cúp	c ú p
ghim	g h i m
sim	s i m
qúy	q ú y
hờ	h ờ
ghe	g h e
hến	h ế n
lách	l á c h
xiên	x i ê n
tivi	t i v i
mánh	m á n h
khoé	k h o é
bo	b o
nhơ	n h ơ
đigiúp	đ i g i ú p
lạp	l ạ p
mười	m ư ờ i
rã	r ã
mấu	m ấ u
pơ	p ơ
vồng	v ồ n g
rơ	r ơ
khỉ	k h ỉ
nhót	n h ó t
nhàu	n h à u
uổng	u ổ n g
mươi	m ư ơ i
tám	t á m
rùa	r ù a
chéo	c h é o
đáu	đ á u
rậm	r ậ m
xổ	x ổ
thó	t h ó
ráng	r á n g
chợt	c h ợ t
chửa	c h ử a
gởi	g ở i
bẹp	b ẹ p
ươn	ư ơ n
búi	b ú i
kìa	k ì a
khmer	k h m e r
mầu	m ầ u
ngút	n g ú t
xú	x ú
uế	u ế
rích	r í c h
mận	m ậ n
chát	c h á t
ất	ấ t
quí	q u í
khoanh	k h o a n h
rặn	r ặ n
đét	đ é t
lùm	l ù m
xùm	x ù m
veo	v e o
ló	l ó
uyên	u y ê n
quậy	q u ậ y
nẻo	n ẻ o
cụt	c ụ t
vò	v ò
vãng	v ã n g
dỡ	d ỡ
ngai	n g a i
bập	b ậ p
lỵ	l ỵ
hằn	h ằ n
lã	l ã
nhộng	n h ộ n g
nhích	n h í c h
gờm	g ờ m
khước	k h ư ớ c
bẹn	b ẹ n
hòm	h ò m
bún	b ú n
rưng	r ư n g
uyển	u y ể n
ngóc	n g ó c
s	s
nhấc	n h ấ c
túa	t ú a
bặt	b ặ t
cày	c à y
vồn	v ồ n
bu	b u
góa	g ó a
đìu	đ ì u
hiu	h i u
banh	b a n h
giỡn	g i ỡ n
đủng	đ ủ n g
vung	v u n g
trồ	t r ồ
nghẹt	n g h ẹ t
hoen	h o e n
gỉ	g ỉ
rết	r ế t
thằn	t h ằ n
lằn	l ằ n
hâu	h â u
mế	m ế
bun	b u n
chớp	c h ớ p
tiếu	t i ế u
rận	r ậ n
gở	g ở
quệt	q u ệ t
bẽ	b ẽ
quặc	q u ặ c
tròng	t r ò n g
gàu	g à u
phuy	p h u y
đủi	đ ủ i
đốn	đ ố n
huân	h u â n
nơm	n ơ m
nớp	n ớ p
vạc	v ạ c
rởm	r ở m
hoả	h o ả
vệt	v ệ t
xẻng	x ẻ n g
rạ	r ạ
láo	l á o
hoạn	h o ạ n
vữa	v ữ a
nguyền	n g u y ề n
ngỗng	n g ỗ n g
gắp	g ắ p
rô	r ô
dãi	d ã i
loay	l o a y
hoay	h o a y
chỏng	c h ỏ n g
chơ	c h ơ
muôi	m u ô i
duỗi	d u ỗ i
lỏi	l ỏ i
xõa	x õ a
lỏm	l ỏ m
choàng	c h o à n g
cốm	c ố m
thúng	t h ú n g
sính	s í n h
miệt	m i ệ t
vát	v á t
rưới	r ư ớ i
quầy	q u ầ y
dìu	d ì u
khuấy	k h u ấ y
đềm	đ ề m
chun	c h u n
thím	t h í m
vừng	v ừ n g
tặc	t ặ c
nháy	n h á y
chốc	c h ố c
gấc	g ấ c
nham	n h a m
núp	n ú p
sà	s à
hực	h ự c
then	t h e n
tr	t r
dũ	d ũ
chôn	c h ô n
đằm	đ ằ m
au	a u
xiêu	x i ê u
hù	h ù
bầm	b ầ m
ăng	ă n g
liếm	l i ế m
ắt	ắ t
oăm	o ă m
tếu	t ế u
múc	m ú c
thưa	t h ư a
vắc	v ắ c
toác	t o á c
nhấm	n h ấ m
nháp	n h á p
đổng	đ ổ n g
ngấy	n g ấ y
han	h a n
nghẽn	n g h ẽ n
vồ	v ồ
chửng	c h ử n g
hùm	h ù m
ngời	n g ờ i
câm	c â m
gieo	g i e o
xỏ	x ỏ
chắp	c h ắ p
vênh	v ê n h
bở	b ở
méo	m é o
mó	m ó
bõm	b õ m
kạn	k ạ n
cỏi	c ỏ i
găm	g ă m
lẽo	l ẽ o
ghiền	g h i ề n
khứa	k h ứ a
líu	l í u
ắc	ắ c
kị	k ị
chành	c h à n h
ha	h a
nhẩm	n h ẩ m
moi	m o i
đận	đ ậ n
ngộp	n g ộ p
loai	l o a i
bảnh	b ả n h
hột	h ộ t
tút	t ú t
hẻm	h ẻ m
chèn	c h è n
toái	t o á i
hậm	h ậ m
sê	s ê
ới	ớ i
rộp	r ộ p
nựng	n ự n g
quyển	q u y ể n
trỏ	t r ỏ
xói	x ó i
nồm	n ồ m
tráo	t r á o
nín	n í n
nãy	n ã y
xỉa	x ỉ a
giễu	g i ễ u
cợt	c ợ t
tớ	t ớ
chon	c h o n
thong	t h o n g
gặm	g ặ m
mép	m é p
kháu	k h á u
dẻ	d ẻ
càn	c à n
ì	ì
còng	c ò n g
day	d a y
bả	b ả
ru	r u
nóc	n ó c
bìa	b ì a
giếm	g i ế m
nhỏm	n h ỏ m
cứa	c ứ a
vố	v ố
chác	c h á c
ngụ	n g ụ
khựng	k h ự n g
choi	c h o i
đản	đ ả n
quặt	q u ặ t
thính	t h í n h
lạy	l ạ y
ríu	r í u
ối	ố i
nghê	n g h ê
dậu	d ậ u
bìu	b ì u
hùa	h ù a
bét	b é t
hú	h ú
hĩnh	h ĩ n h
tuột	t u ộ t
lọi	l ọ i
nhe	n h e
dứa	d ứ a
hom	h o m
mề	m ề
đay	đ a y
nguỵ	n g u ỵ
tuốt	t u ố t
ỉm	ỉ m
sô	s ô
oán	o á n
q	q
bậy	b ậ y
mứt	m ứ t
lia	l i a
cạc	c ạ c
nít	n í t
lủi	l ủ i
két	k é t
chẻ	c h ẻ
địu	đ ị u
thán	t h á n
nịnh	n ị n h
nọt	n ọ t
dấy	d ấ y
lể	l ể
ừ	ừ
kẽ	k ẽ
sộ	s ộ
rọi	r ọ i
cộp	c ộ p
bìm	b ì m
xôi	x ô i
trau	t r a u
nệm	n ệ m
khất	k h ấ t
mia	m i a
coca	c o c a
lả	l ả
tăn	t ă n
tề	t ề
phay	p h a y
khuông	k h u ô n g
ứ	ứ
nớt	n ớ t
vế	v ế
tâng	t â n g
sứa	s ứ a
móm	m ó m
hẫng	h ẫ n g
gạ	g ạ
ke	k e
ình	ì n h
cũn	c ũ n
cỡn	c ỡ n
dực	d ự c
dũa	d ũ a
dòi	d ò i
lết	l ế t
xâu	x â u
rủng	r ủ n g
rỉnh	r ỉ n h
bệ	b ệ
kiệu	k i ệ u
nghiễm	n g h i ễ m
chằm	c h ằ m
ngoãn	n g o ã n
trằn	t r ằ n
nhựt	n h ự t
lòi	l ò i
thiu	t h i u
khảnh	k h ả n h
lùn	l ù n
nòi	n ò i
iu	i u
trọi	t r ọ i
vẩy	v ẩ y
sồ	s ồ
sề	s ề
trui	t r u i
bêu	b ê u
kèn	k è n
sắn	s ắ n
chuốc	c h u ố c
củi	c ủ i
cối	c ố i
ổng	ổ n g
ảm	ả m
rưỡi	r ư ỡ i
răm	r ă m
ươm	ư ơ m
te	t e
hốc	h ố c
đóa	đ ó a
ẵm	ẵ m
nhản	n h ả n
quệ	q u ệ
chạc	c h ạ c
ngợp	n g ợ p
ngòi	n g ò i
giâm	g i â m
nghiến	n g h i ế n
lù	l ù
khàn	k h à n
ngoắt	n g o ắ t
cụp	c ụ p
pi	p i
liếng	l i ế n g
dỏm	d ỏ m
xuê	x u ê
xhcn	x h c n
sũng	s ũ n g
trệ	t r ệ
chếch	c h ế c h
đờm	đ ờ m
dơi	d ơ i
vái	v á i
phộng	p h ộ n g
hì	h ì
ớn	ớ n
lùa	l ù a
lít	l í t
bổn	b ổ n
òa	ò a
hói	h ó i
lợp	l ợ p
lịm	l ị m
hửng	h ử n g
nhum	n h u m
ngáo	n g á o
nép	n é p
quỵt	q u ỵ t
nhão	n h ã o
khạc	k h ạ c
xoan	x o a n
rét	r é t
nhọ	n h ọ
bẽo	b ẽ o
úng	ú n g
ươi	ư ơ i
mửa	m ử a
chư	c h ư
thình	t h ì n h
sào	s à o
vót	v ó t
rợp	r ợ p
uẩn	u ẩ n
ghì	g h ì
rói	r ó i
dẽ	d ẽ
lảng	l ả n g
loang	l o a n g
sục	s ụ c
xổm	x ổ m
bòng	b ò n g
tuồn	t u ồ n
thới	t h ớ i
khèn	k h è n
véo	v é o
ú	ú
ụ	ụ
phin	p h i n
phơ	p h ơ
lúng	l ú n g
phèo	p h è o
rắp	r ắ p
ngò	n g ò
phung	p h u n g
tốp	t ố p
nhẹt	n h ẹ t
dẫm	d ẫ m
rót	r ó t
mân	m â n
casino	c a s i n o
tom	t o m
vánh	v á n h
chầm	c h ầ m
rợn	r ợ n
chông	c h ô n g
gợn	g ợ n
lụng	l ụ n g
pen	p e n
miếu	m i ế u
rải	r ả i
xoàng	x o à n g
him	h i m
túp	t ú p
trãi	t r ã i
bâu	b â u
nán	n á n
giầu	g i ầ u
dởm	d ở m
trẽn	t r ẽ n
sưa	s ư a
vẹo	v ẹ o
kềnh	k ề n h
phào	p h à o
tót	t ó t
hợi	h ợ i
thăn	t h ă n
rú	r ú
khuân	k h u â n
ngót	n g ó t
guitar	g u i t a r
tặn	t ặ n
buồm	b u ồ m
nọc	n ọ c
lạng	l ạ n g
căm	c ă m
thây	t h â y
gọng	g ọ n g
kỉnh	k ỉ n h
luẩn	l u ẩ n
ròng	r ò n g
hỉnh	h ỉ n h
lặt	l ặ t
ứa	ứ a
xập	x ậ p
gành	g à n h
ná	n á
duật	d u ậ t
hạc	h ạ c
ghẹo	g h ẹ o
luyn	l u y n
búng	b ú n g
tụi	t ụ i
lẳng	l ẳ n g
kháo	k h á o
tảo	t ả o
bôn	b ô n
dái	d á i
vối	v ố i
rổ	r ổ
chóc	c h ó c
bốt	b ố t
cơi	c ơ i
diêm	d i ê m
tuồng	t u ồ n g
ken	k e n
phảng	p h ả n g
rệu	r ệ u
thuỳ	t h u ỳ
mạp	m ạ p
bấc	b ấ c
sex	s e x
tòi	t ò i
vụt	v ụ t
thêu	t h ê u
rầy	r ầ y
nanh	n a n h
thảy	t h ả y
ệ	ệ
quẳng	q u ẳ n g
híp	h í p
thoạt	t h o ạ t
cắc	c ắ c
gồ	g ồ
ghề	g h ề
thết	t h ế t
rim	r i m
nhuần	n h u ầ n
phầm	p h ầ m
sắng	s ắ n g
tràm	t r à m
sám	s á m
tạc	t ạ c
hinh	h i n h
nem	n e m
hững	h ữ n g
xúy	x ú y
nấp	n ấ p
thụt	t h ụ t
đờn	đ ờ n
lim	l i m
nhổm	n h ổ m
nhúm	n h ú m
nua	n u a
mỏm	m ỏ m
khấm	k h ấ m
ùng	ù n g
ọp	ọ p
ẹp	ẹ p
trườn	t r ư ờ n
nấng	n ấ n g
quẹt	q u ẹ t
hớt	h ớ t
rìa	r ì a
truồng	t r u ồ n g
hóng	h ó n g
hớn	h ớ n
hiềm	h i ề m
thếp	t h ế p
giẻ	g i ẻ
ngưởng	n g ư ở n g
ki	k i
ốt	ố t
xiêm	x i ê m
giăng	g i ă n g
biền	b i ề n
nẩy	n ẩ y
mênh	m ê n h
gáo	g á o
hăm	h ă m
ngạo	n g ạ o
ad	a d
rần	r ầ n
huyễn	h u y ễ n
tủa	t ủ a
tòng	t ò n g
bâng	b â n g
khuâng	k h u â n g
thâu	t h â u
xoạc	x o ạ c
thuấn	t h u ấ n
xéo	x é o
nuột	n u ộ t
mơn	m ơ n
giàng	g i à n g
dom	d o m
hạp	h ạ p
dằng	d ằ n g
dặc	d ặ c
triền	t r i ề n
chụm	c h ụ m
khểnh	k h ể n h
ngoặc	n g o ặ c
thớt	t h ớ t
choang	c h o a n g
điếm	đ i ế m
dà	d à
cún	c ú n
trỉa	t r ỉ a
đom	đ o m
đóm	đ ó m
phèn	p h è n
oxi	o x i
nhúc	n h ú c
quơ	q u ơ
trẩy	t r ẩ y
toa	t o a
bèn	b è n
nhòm	n h ò m
ngó	n g ó
xếch	x ế c h
giê	g i ê
guồng	g u ồ n g
gả	g ả
sụa	s ụ a
lum	l u m
khờ	k h ờ
lú	l ú
tiệp	t i ệ p
cạy	c ạ y
ọe	ọ e
lũng	l ũ n g
nhử	n h ử
đớp	đ ớ p
róc	r ó c
ké	k é
mợ	m ợ
phình	p h ì n h
rằn	r ằ n
khua	k h u a
lừ	l ừ
thỏm	t h ỏ m
radio	r a d i o
khấp	k h ấ p
oằn	o ằ n
si	s i
choán	c h o á n
quáng	q u á n g
quằn	q u ằ n
quại	q u ạ i
sái	s á i
hóp	h ó p
tột	t ộ t
khóm	k h ó m
đơm	đ ơ m
lắt	l ắ t
dặt	d ặ t
nái	n á i
gông	g ô n g
cùm	c ù m
bĩ	b ĩ
von	v o n
vãnh	v ã n h
bươu	b ư ơ u
bụp	b ụ p
xẹp	x ẹ p
thinh	t h i n h
rớm	r ớ m
ku	k u
nhoà	n h o à
tược	t ư ợ c
um	u m
nhứt	n h ứ t
nhỉnh	n h ỉ n h
xo	x o
gộc	g ộ c
chét	c h é t
dật	d ậ t
són	s ó n
sền	s ề n
nhuệ	n h u ệ
riu	r i u
sậm	s ậ m
bẹ	b ẹ
trá	t r á
chuốt	c h u ố t
chình	c h ì n h
giẫm	g i ẫ m
đẵng	đ ẵ n g
liềm	l i ề m
rai	r a i
xị	x ị
luy	l u y
hẩu	h ẩ u
lốn	l ố n
vông	v ô n g
thào	t h à o
don	d o n
trứ	t r ứ
tuýt	t u ý t
chưởng	c h ư ở n g
quẫn	q u ẫ n
nhoài	n h o à i
tậm	t ậ m
rúng	r ú n g
sệ	s ệ
